Date,High,Low,Open,Close,BTC_diff,Mcap_diff,Vol_diff,xBTCx,diff1,ETH,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP,SP_diff,SP_vol_diff,DJI,DJI_diff,DJI_vol_diff,NAS,NAS_diff,NAS_vol_diff,Gold,Gold_diff,Gold_vol_diff,TRE,TRE_diff
2016-04-13,426.6579895,422.9159851,425.6319885,423.7340088,-1.4559935999999993,-20721818,-1668400,0.5480040999999574,2.7070007000000373,8.044420242,0.6021103859999997,47830272.899999976,8213200,-256933,0,2082.42,20.700000000000273,-47910000,17908.28,187.02999999999884,106900,4947.419922,75.33007799999996,177170000,1246.8,-12.600000000000136,18,1.76,-0.020000000000000018
2016-04-14,425.3710022,423.0130005,423.9349976,424.2820129,0.5480040999999574,10184219,-23779400,5.430999799999995,-1.4559935999999993,8.38724041,0.34282016800000115,27362926.80000007,-17812600,175639,0,2082.78,0.36000000000012733,-425960000,17926.43,18.150000000001455,-72000,4945.890137,-1.5297849999997197,-290640000,1225,-21.799999999999955,61,1.78,0.020000000000000018
2016-04-15,429.928009,424.427002,424.427002,429.7130127,5.430999799999995,85322791,9520500,0.8589783000000466,0.5480040999999574,8.242779732,-0.14446067799999973,-11162652.5,-1411700,-270010.89844,0,2080.73,-2.050000000000182,-64420000,17897.46,-28.970000000001164,336500,4938.220215,-7.669922000000042,38980000,1233.1,8.099999999999909,-167,1.75,-0.030000000000000027
2016-04-16,432.625,428.9840088,429.5750122,430.571991,0.8589783000000466,14745770,-15408700,-3.1730042000000367,5.430999799999995,8.609499931,0.3667201989999995,29283884.799999952,-2290540,-12786.304680000001,0,2080.73,0,0,17897.46,0,0,4938.220215,0,0,1233.1,0,0,1.75,0
2016-04-17,431.3710022,426.07901,430.6359863,427.3989868,-3.1730042000000367,-47304004,12733100,1.192016599999988,0.8589783000000466,9.309100151,0.6996002200000007,55661474.5,14731140,55509.203120000006,0,2080.73,0,0,17897.46,0,0,4938.220215,0,0,1233.1,0,0,1.75,0
2016-04-18,429.2739868,427.0859985,427.6109924,428.5910034,1.192016599999988,19845385,3545000,6.9179993000000195,-3.1730042000000367,9.036000252,-0.27309989900000176,-21334947.799999952,-3535500,39059,0,2094.34,13.610000000000127,-384570000,18004.16,106.70000000000073,-287700,4960.02002,21.79980499999965,-12530000,1233.6,0.5,207,1.77,0.020000000000000018
2016-04-19,436.019989,428.1040039,428.7030029,435.5090027,6.9179993000000195,108500002,-2860400,5.880004900000017,1.192016599999988,8.71487999,-0.3211202619999991,-25161469.100000024,-8185000,-44609,0,2100.8,6.460000000000036,579950000,18053.6,49.43999999999869,4300,4940.330078,-19.689941999999974,151990000,1253,19.40000000000009,82,1.78,0.010000000000000009
2016-04-20,443.0539856,434.4060059,435.3240051,441.3890076,5.880004900000017,92674961,20079596,8.035980199999983,6.9179993000000195,8.465789795,-0.24909019500000085,-19467719.299999952,2735600,-13144,0,2102.4,1.599999999999909,288050000,18096.27,42.67000000000189,103900,4948.129883,7.799804999999651,-42910000,1253.2,0.20000000000004547,-206,1.85,0.07000000000000006
2016-04-21,450.5480042,440.9519958,441.4159851,449.4249878,8.035980199999983,125897179,-4685392,-3.6879882999999722,5.880004900000017,8.102169991,-0.36361980399999894,-28569867.5,-2279300,175614,0,2091.48,-10.920000000000073,-9590000,17982.52,-113.75,25100,4945.890137,-2.239745999999286,-23150000,1249,-4.2000000000000455,-56,1.87,0.020000000000000018
2016-04-22,449.8099976,444.1499939,449.6879883,445.7369995,-3.6879882999999722,-55431533,-9400304,4.545013399999959,8.035980199999983,7.821259975,-0.280910016,-22029520.700000048,-46100,-135232,0,2091.58,0.09999999999990905,-384710000,18003.75,21.229999999999563,314000,4906.22998,-39.660157000000254,260740000,1228.7,-20.299999999999955,64,1.89,0.019999999999999796
2016-04-23,450.2820129,444.3309937,445.8609924,450.2820129,4.545013399999959,71910926,-8319000,8.27297980000003,-3.6879882999999722,8.294790268,0.4735302929999996,37829205.79999995,1255900,369328,0,2091.58,0,0,18003.75,0,0,4906.22998,0,0,1228.7,0,0,1.89,0
2016-04-24,460.1459961,448.928009,450.5599976,458.5549927,8.27297980000003,129455915,17713000,2.871002199999964,4.545013399999959,8.001350403,-0.29343986499999986,-23036743.399999976,-3778800,-444920,0,2091.58,0,0,18003.75,0,0,4906.22998,0,0,1228.7,0,0,1.89,0
2016-04-25,466.6199951,453.5920105,459.1210022,461.4259949,2.871002199999964,45890216,18893400,4.662994400000002,8.27297980000003,7.554339886,-0.44701051699999983,-35247852.100000024,7453500,230848,0,2087.79,-3.7899999999999636,-470840000,17977.24,-26.5099999999984,-503500,4895.790039,-10.439940999999635,-436660000,1238.9,10.200000000000045,254,1.9,0.010000000000000009
2016-04-26,467.9649963,461.6210022,461.6480103,466.0889893,4.662994400000002,73886547,-8119896,-21.401977599999952,2.871002199999964,7.39703989,-0.1572999959999999,-12262576.699999928,-572600,216245,0,2091.7,3.9099999999998545,237450000,17990.32,13.079999999998108,88000,4888.279785,-7.510254000000714,242750000,1242.2,3.2999999999999545,-345,1.93,0.030000000000000027
2016-04-27,467.07901,444.1340027,466.2619934,444.6870117,-21.401977599999952,-329775448,14592992,4.3239745999999855,4.662994400000002,7.759970188,0.3629302979999993,29085376,1587200,-33157,0,2095.15,3.450000000000273,542920000,18041.55,51.22999999999956,165200,4863.140137,-25.139647999999397,113760000,1249.2,7,450,1.86,-0.06999999999999984
2016-04-28,449.5509949,436.6499939,445.0379944,449.0109863,4.3239745999999855,68450716,-19500192,6.085998599999982,-21.401977599999952,7.172530174,-0.5874400139999993,-46468964.5,-7678500,62524,500000,2075.81,-19.340000000000146,209730000,17830.76,-210.79000000000087,-81700,4805.290039,-57.85009799999989,222620000,1265.5,16.299999999999955,340,1.84,-0.020000000000000018
2016-04-29,455.3840027,446.0169983,449.4079895,455.0969849,6.085998599999982,96017771,-24806204,-6.778991700000006,4.3239745999999855,7.457290173,0.2847599989999994,22881052.799999952,-2813920,-398470,0,2065.3,-10.509999999999764,394880000,17773.64,-57.11999999999898,357500,4775.359863,-29.930176000000756,215060000,1289.2,23.700000000000045,-423,1.82,-0.020000000000000018
